"Sham Cash","شام كاش"
"Complete your payment with Sham Cash","أكمل الدفع عبر شام كاش"
"Amount","المبلغ"
"Sham Cash wallet","محفظة شام كاش"
"Payment reference (put in the note)","مرجع الدفع (أدخله في الملاحظة)"
"Or scan / paste this QR payload in your Sham Cash app","أو امسح / الصق رمز QR هذا في تطبيق شام كاش"
"Payment received — your order is confirmed.","تم استلام الدفعة — تم تأكيد طلبك."
"Waiting for your transfer. It is usually confirmed within a few minutes.","بانتظار التحويل. يتم التأكيد عادةً خلال دقائق."
"I've paid","لقد دفعت"
"We have not seen your transfer yet. Please try again shortly.","لم نستلم تحويلك بعد. يرجى المحاولة بعد قليل."
"We could not check your payment right now. Please try again shortly.","تعذر التحقق من دفعتك حالياً. يرجى المحاولة بعد قليل."
"Please wait a moment before checking again.","يرجى الانتظار لحظة قبل إعادة التحقق."
"We could not find your order in this session.","تعذر العثور على طلبك في هذه الجلسة."
"After you place the order, you will see the Sham Cash wallet and a payment reference to complete the transfer from your Sham Cash app.","بعد إتمام الطلب، ستظهر لك محفظة شام كاش ومرجع الدفع لإتمام التحويل من تطبيق شام كاش."
"No matching Sham Cash transfer found yet.","لم يتم العثور على تحويل مطابق في شام كاش بعد."
"Order is already paid.","الطلب مدفوع مسبقاً."
"Payment confirmed via Sham Cash transaction %1.","تم تأكيد الدفع عبر معاملة شام كاش %1."
"Awaiting Sham Cash transfer.","بانتظار تحويل شام كاش."
"Check now","تحقق الآن"
"Recent transfers — credit one to this order:","التحويلات الأخيرة — اربط أحدها بهذا الطلب:"
"When","التاريخ"
"Sender","المُرسِل"
"Note","ملاحظة"
"Transaction","المعاملة"
"Credit","ربط"
"Payment confirmed.","تم تأكيد الدفع."
"Refresh account info","تحديث معلومات الحساب"
"No recent Sham Cash transfers found for this order yet.","لا توجد تحويلات شام كاش حديثة لهذا الطلب بعد."
"Could not load Sham Cash transactions: %1","تعذر تحميل معاملات شام كاش: %1"
